JLPT N5;Категория;Кандзи;Кана;Ромадзи;Перевод
N5;Приветствия и вежливые выражения;ありがとう;ありがとう;arigatou;спасибо
N5;Приветствия и вежливые выражения;ありがとうございます;ありがとうございます;arigatou gozaimasu;большое спасибо
N5;Приветствия и вежливые выражения;どうもありがとう;どうもありがとう;doumo arigatou;большое спасибо
N5;Приветствия и вежливые выражения;どうもありがとうございます;どうもありがとうございます;doumo arigatou gozaimasu;большое спасибо (вежливо)
N5;Приветствия и вежливые выражения;どういたしまして;どういたしまして;douitashimashite;не за что
N5;Приветствия и вежливые выражения;おはよう;おはよう;ohayou;доброе утро
N5;Приветствия и вежливые выражения;おはようございます;おはようございます;ohayou gozaimasu;доброе утро (вежливо)
N5;Приветствия и вежливые выражения;こんにちは;こんにちは;konnichiwa;добрый день
N5;Приветствия и вежливые выражения;こんばんは;こんばんは;konbanwa;добрый вечер
N5;Приветствия и вежливые выражения;お休みなさい;おやすみなさい;oyasuminasai;спокойной ночи
N5;Приветствия и вежливые выражения;さようなら;さようなら;sayounara;до свидания (надолго)
N5;Приветствия и вежливые выражения;じゃあ;じゃあ;jaa;ну, тогда… (при прощании)
N5;Приветствия и вежливые выражения;では;では;dewa;ну, тогда… (вежливо)
N5;Приветствия и вежливые выражения;いってきます;いってきます;ittekimasu;я пошел (обещаю вернуться)
N5;Приветствия и вежливые выражения;いってらっしゃい;いってらっしゃい;itterasshai;счастливого пути!
N5;Приветствия и вежливые выражения;ただいま;ただいま;tadaima;я вернулся
N5;Приветствия и вежливые выражения;おかえりなさい;おかえりなさい;okaerinasai;добро пожаловать домой!
N5;Приветствия и вежливые выражения;よろしくお願いします;よろしくおねがいします;yoroshiku onegai shimasu;приятно познакомиться (вежливо)
N5;Приветствия и вежливые выражения;どうぞよろしく;どうぞよろしく;douzo yoroshiku;приятно познакомиться
N5;Приветствия и вежливые выражения;はじめまして;はじめまして;hajimemashite;рад знакомству
N5;Приветствия и вежливые выражения;ごめんなさい;ごめんなさい;gomennasai;извините
N5;Приветствия и вежливые выражения;すみません;すみません;sumimasen;извините (простите)
N5;Приветствия и вежливые выражения;失礼します;しつれいします;shitsurei shimasu;извините за беспокойство (перед входом/уходом)
N5;Приветствия и вежливые выражения;失礼しました;しつれいしました;shitsurei shimashita;прошу прощения (за совершенное действие)
N5;Приветствия и вежливые выражения;いらっしゃいませ;いらっしゃいませ;irasshaimase;добро пожаловать! (в магазине, ресторане)
N5;Приветствия и вежливые выражения;お元気で;おげんきで;ogenki de;берегите себя!
